status;nome;cpf;idade;data_nascimento;cidade;regiao;renda_mensal;credito_tomado;flag_inadimplente;qtde_batalhas;nivel_risco;flag_inadimplente;valor_solicitado
Ativo;Ellaria Baelish;000.000.336-00;32;13/01/1994;Ninho da Águia;Vale;15600;0;Sim;34;;Sim;16000
Inativo;Stannis Lannister;36100;24;26/02/2002;Ponta Tempestade;Terras da Tempestade;11000 moedas;76500;Sim;33;;Sim;26000
Ativo;Asha Hornwood;000.000.363-00;33;34144;Pedra do Dragão;Terras da Coroa;21500 moedas;N/A;não;22;;não;51500
Ativo;Jorah Dondarrion;000.000.210-00;63;23156;Pyke | Ilhas de Ferro;;10400 moedas;8500;não;39;;não;36500
Ativo;Jojen Florent;000.000.321-00;32;34299;Ninho da Águia;vale;R$ 30.000,00;;Não;5;;Não;65000
Ativo;Olenna Baelish;000.000.191-00;48;28647;Lannisporto;;13200;3500 moedas;Não;1;;Não;32500
ATIVO;Brienne Manderly;000.000.076-00;28;04/02/1998;Lannisporto;Oeste;8600 moedas;R$ 19.000,00;Sim;4;;Sim;32500
Inativo;yara targaryen;000.000.059-00;42;08/05/1984;Pyke;Ilhas De Ferro;18200 moedas;31000 moedas;Não;19;;Não;63500
Ativo;Margaery Tarly;000.000.274-00;34;21/01/1992;Pyke;ilhas de ferro;8000;14.500;Sim;9;;Sim;17500
Inativo;Viserys Seaworth;000.000.024-00;61;17/10/1964;Meereen;Essos;23000 moedas;44500;Sim;32;;Sim;2000
Ativo;Tormund  Cerwyn;000.000.039-00;33;34147;Meereen;Essos;28700;12500;Não;41;;Não;99500
Ativo;catelyn westerling;35800;70;20515;Braavos;Essos;19500 moedas;62000;Sim;45;;Sim;35500
Ativo;Robb Baratheon;000.000.365-00;54;24/03/1972;Ponta Tempestade;Terras da Tempestade;22100;37000;Não;34;;Não;87000
Ativo;Asha Tallhart;8600;;32260;Pyke;Ilhas de Ferro;17600 moedas;0;Sim;31;;Sim;47500
Inativo;Missandei Tarly;200;55;25892;Ponta Tempestade;TERRAS DA TEMPESTADE;5300;6.500;Não;42;;Não;96000
Inativo;Jeor Mallister;000.000.162-00;47;29064;Correrrio;Terras Fluviais;13300;1000;Sim;24;;Sim;61500
Inativo;Eddard Crakehall;31800;43;30391;Castelo Negro;Norte;7100;5500 moedas;Não;23;;Não;67000
Ativo;Podrick Swyft;000.000.090-00;32;03/05/1994;Correrrio;TERRAS FLUVIAIS;21.300;R$ 48.000,00;Não;11;;Não;35000
Ativo;Podrick Dayne;22300;25;01/11/2000;Vilavelha;Campina;9.400;51500;Não;14;;Não;29500
Ativo;Ellaria Seaworth;000.000.125-00;23;37627;Correrrio;TERRAS FLUVIAIS;;69000;Não;20;;Não;69000
Inativo;Melisandre Clegane;000.000.231-00;53;26/11/1972;Ilha dos Ursos;NORTE;16.500;R$ 4.000,00;Não;14;;Não;36000
Ativo;Robert Karstark;000.000.184-00;;21378;Meereen;;14300;32500;Sim;15;;Sim;8000
Inativo;rhaegar stark;000.000.119-00;33;23/04/1993;Meereen;Essos;23600;75.500;Não;16;;Não;88000
Ativo;Loras Greyjoy;000.000.362-00;68;21145;Fosso Cailin;Norte;29000;67500;Não;25;;Não;18000
Inativo;Jorah Hightower;000.000.346-00;62;05/09/1963;Pedra do Dragão;TERRAS DA COROA;;0;Sim;1 batalhas;;Sim;12000
Ativo;Loras Clegane;000.000.287-00;58;24911;Harrenhal;Terras Fluviais;R$ 25.400,00;70500;Sim;11;;Sim;47000
Ativo;Jojen Florent;34300;48;10/10/1977;Winterfell;;13.300;42000;Sim;27;;Sim;40000
Ativo;samwell yronwood;000.000.124-00;29;35323;Jardim de Cima;Campina;21200;75000;Não;6;;Não;63500
Ativoo;Catelyn Yronwood;000.000.226-00;38;32166;Castelo Negro;norte;19500 moedas;39000;Não;25;;Não;88500
Inativo;Brienne Reed;000.000.306-00;68;21293;Pyke;Ilhas de Ferro;3800;70000;Sim;34;;Sim;7500
Ativo;Rhaegar Umber;000.000.247-00;19;18/05/2007;Vilavelha;Campina;18000;50500;sim;11;;sim;26000
Ativo;Roose Manderly;15400;42;30642;Dorne;Dorne;sem renda;19500;Não;42;;Não;89500
Ativo;Jeor Florent;000.000.249-00;27;36319;Ponta Tempestade;terras da tempestade;28800;78.500;Não;2;;Não;53000
Ativo;Bran Yronwood;000.000.057-00;42;30878;Pyke;Ilhas de Ferro;17500;3500;Nao;25;;Nao;35000
Ativo;BRONN ARRYN;000.000.016-00;44;29975;Lannisporto;oeste;5300;6000;Sim;1;;Sim;4500
Ativo;Shae Clegane;000.000.205-00;40;07/05/1986;Fosso Cailin;Norte;9900;3500;Não;1;;Não;23500
Ativo;Ramsay Hornwood;000.000.005-00;65;16/11/1960;Pyke;Ilhas De Ferro;23400 moedas;28000;Não;34;;Não;74000
;MEERA PAYNE;000.000.131-00;63;22974;Dorne;DORNE;R$ 14.700,00;0;sim;40;;sim;83500
Ativo;MELISANDRE BARATHEON;000.000.364-00;22;;Meereen;Essos;14400;0;Não;27 batalhas;;Não;33500
ATIVO;Podrick Targaryen;000.000.050-00;39;31879;Vilavelha;Campina;29900 moedas;0;Não;39;;Não;75000
